Item Id,Item Name,Monster,Components
272641,Spiral Heat 1,Agnaktor,"Agnaktor Beak [Agnaktor]
Agnaktor Carapace [Agnaktor]
Agnaktor Scale [Agnaktor]"
330753,Agnaboom 1,Agnaktor,"Agnaktor Carapace [Agnaktor]
Agnaktor Fin+ [Agnaktor]
Firecell Stone
Monster Hardbone"
353793,Agna Magnum 1,Agnaktor,"Agnaktor Cortex [Agnaktor]
Agnaktor Grandfin [Agnaktor]
Agnaktor Talon [Agnaktor]
Monster Slogbone"
530433,Dancing Flames 1,Agnaktor,"Agnaktor Fin+ [Agnaktor]
Agnaktor Claw+ [Agnaktor]
Firecell Stone"
599297,Fire Tempest 1,Agnaktor,"Agnaktor Beak [Agnaktor]
Agnaktor Fin+ [Agnaktor]
Firecell Stone"
658433,Flamethrower 1,Agnaktor,"Agnaktor Tail [Agnaktor]
Agnaktor Carapace [Agnaktor]
Uroktor Scale+ [Uroktor]"
683521,Agna Vulcan 1,Agnaktor,"Agnaktor Piel [Agnaktor]
Agnaktor Talon [Agnaktor]
Allfire Stone"
792321,Flamestorm 1,Agnaktor,"Agnaktor Carapace [Agnaktor]
Scalding Pleura+ [Agnaktor]
Uroktor Scale+ [Uroktor]"
816385,Ignis Noire 1,Agnaktor,"Agnaktor Grandfin [Agnaktor]
Scorching Pleura [Agnaktor]
Allfire Stone"
854529,Agnakdion 1,Agnaktor,"Agnaktor Carapace [Agnaktor]
Agnaktor Tail [Agnaktor]
Carbalite Ore"
923137,Flaming Halberd 1,Agnaktor,"Agnaktor Fin+ [Agnaktor]
Agnaktor Beak [Agnaktor]
Firecell Stone"
93953,Gold Great Sword 1,Ahtal-Ka,"Ahtal-Ka Gold Cocoon [Ahtal-Ka]
Ahtal-Ka Purple Cocoon [Ahtal-Ka]
Ahtal-Ka Pheromone [Ahtal-Ka]
Purecrystal"
157185,Goldsword 1,Ahtal-Ka,"Ahtal-Ka Gold Cocoon [Ahtal-Ka]
Ahtal-Ka Purple Cocoon [Ahtal-Ka]
Ahtal-Ka Pheromone [Ahtal-Ka]
Purecrystal"
224001,Goldhammer 1,Ahtal-Ka,"Ahtal-Ka Gold Cocoon [Ahtal-Ka]
Ahtal-Ka Purple Cocoon [Ahtal-Ka]
Ahtal-Ka Pheromone [Ahtal-Ka]
Meldspar Ore"
287745,Goldspear 1,Ahtal-Ka,"Ahtal-Ka Foreblade [Ahtal-Ka]
Ahtal-Ka Gold Cocoon [Ahtal-Ka]
Ahtal-Ka Pheromone [Ahtal-Ka]
Purecrystal"
348417,Goldcannon 1,Ahtal-Ka,"Ahtal-Ka Gold Cocoon [Ahtal-Ka]
Ahtal-Ka Purple Cocoon [Ahtal-Ka]
Ahtal-Ka Fine Silk [Ahtal-Ka]
Iridescent Carapace [Ahtal-Ka]"
